,DATE,FIRE_YEAR,DISCOVERY_DOY,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
0,1992-01-11,1992,11,0.13,A,32.2354,-82.9233,GA
1,1992-01-12,1992,12,2.15,B,31.1723,-81.8979,GA
2,1992-01-15,1992,15,1.0,B,30.66458,-93.82709,TX
3,1992-01-15,1992,15,15.0,C,39.64584,-75.00417,NJ
4,1992-01-17,1992,17,1.5,B,34.14583333,-80.30833333,SC
5,1992-01-17,1992,17,0.09,A,32.7498,-83.446,GA
6,1992-01-17,1992,17,0.2,A,35.4083,-81.5783,NC
7,1992-01-18,1992,18,1.5,B,28.66,-81.95,FL
8,1992-01-21,1992,21,82.0,C,34.795,-89.37,MS
9,1992-01-21,1992,21,30.0,C,30.47,-83.31,FL
10,1992-01-21,1992,21,2.0,B,35.5183,-80.1483,NC
11,1992-01-21,1992,21,0.8,B,31.155,-89.025,MS
12,1992-01-21,1992,21,0.88,B,32.4068,-82.8434,GA
13,1992-01-22,1992,22,0.14,A,30.9499,-83.3377,GA
14,1992-01-24,1992,24,40.0,C,30.328333,-90.005,LA
15,1992-01-24,1992,24,20.0,C,30.95166667,-93.09,LA
16,1992-01-25,1992,25,60.0,C,32.84978703,-89.80549401,MS
17,1992-01-25,1992,25,20.0,C,32.31833333,-89.395,MS
18,1992-01-26,1992,26,1.0,B,32.2875,-81.04583333,SC
19,1992-02-01,1992,32,15.0,C,32.9026415,-89.10552559999999,MS
20,1992-02-01,1992,32,0.1,A,35.2217,-82.765,NC
21,1992-02-01,1992,32,17.0,C,39.43962624,-91.26414083,MO
22,1992-02-03,1992,34,1.0,B,32.79345037,-88.58984006,MS
23,1992-02-03,1992,34,2.0,B,35.8083,-79.2117,NC
24,1992-02-03,1992,34,3.0,B,35.04583333,-81.14166667,SC
25,1992-02-04,1992,35,4.0,B,34.575,-82.75833333,SC
26,1992-02-04,1992,35,1.0,B,35.6783,-80.9017,NC
27,1992-02-04,1992,35,1.0,B,35.975,-78.3583,NC
28,1992-02-04,1992,35,15.0,C,35.3483,-79.115,NC
29,1992-02-09,1992,40,2.0,B,34.784655,-88.25803036,MS
30,1992-02-11,1992,42,0.63,B,33.2984,-83.6668,GA
31,1992-02-12,1992,43,2.0,B,30.74,-86.08,FL
32,1992-02-15,1992,46,10.0,C,34.775,-89.09,MS
33,1992-02-15,1992,46,20.0,C,30.04,-82.8,FL
34,1992-02-16,1992,47,8.0,B,33.44166667,-80.54166667,SC
35,1992-02-18,1992,49,0.3,B,36.28459943,-95.10430148,OK
36,1992-02-19,1992,50,5.0,B,27.01,-81.67,FL
37,1992-02-19,1992,50,3.0,B,36.28459909,-94.71230305,OK
38,1992-02-20,1992,51,3.8,B,35.99299991,-94.98429888,OK
39,1992-02-21,1992,52,2.0,B,33.14774297,-89.12257682,MS
40,1992-02-21,1992,52,3.0,B,32.02928756,-90.25485158,MS
41,1992-02-21,1992,52,15.0,C,31.65857003,-89.91803937,MS
42,1992-02-21,1992,52,6.0,B,34.54166667,-79.69583333,SC
43,1992-02-22,1992,53,0.1,A,31.00166667,-89.01833333,MS
44,1992-02-22,1992,53,3.0,B,34.6583,-79.4017,NC
45,1992-02-22,1992,53,1.5,B,33.39166667,-80.32083333,SC
46,1992-02-28,1992,59,3.0,B,37.37413366,-91.81858021,MO
47,1992-02-28,1992,59,3.0,B,34.74166667,-83.04166667,SC
48,1992-02-28,1992,59,35.0,C,31.83125,-95.58542,TX
49,1992-02-28,1992,59,5.0,B,33.575,-79.90416667,SC
50,1992-02-29,1992,60,0.2,A,33.37083333,-80.375,SC
51,1992-02-29,1992,60,0.24,A,31.3102,-84.3358,GA
